frame,person,landmark_id,x,y,conf
0,1,0,432.26596,207.87083,0.8611709
0,1,1,436.5542,200.43158,0.8945048
0,1,2,429.43652,201.81802,0.5008126
0,1,3,455.7532,197.30899,0.8568297
0,1,4,436.26288,200.46074,0.18537888
0,1,5,467.61758,232.41443,0.9770822
0,1,6,466.46027,228.12285,0.87038237
0,1,7,465.85944,285.78595,0.92889774
0,1,8,471.62186,272.97214,0.5235821
0,1,9,442.119,286.20197,0.85251886
0,1,10,449.72168,283.9978,0.46510923
0,1,11,483.9261,323.65186,0.9791253
0,1,12,479.05267,319.97177,0.9541473
0,1,13,481.9244,393.9245,0.9749356
0,1,14,467.89355,389.21173,0.9414056
0,1,15,496.6024,471.05307,0.9557641
0,1,16,455.06506,457.22473,0.92337996
0,2,0,796.9905,397.33212,0.95548034
0,2,1,802.63306,390.93384,0.7326803
0,2,2,790.87836,389.42993,0.92794436
0,2,3,803.8179,371.5847,0.20868713
0,2,4,768.4357,369.59836,0.78681785
0,2,5,812.6821,363.0733,0.972494
0,2,6,729.6394,381.506,0.99487203
0,2,7,846.69196,394.48224,0.9525206
0,2,8,718.0895,441.0864,0.99526393
0,2,9,816.752,417.1434,0.9661197
0,2,10,766.7222,438.00836,0.9948132
0,2,11,794.4742,457.46063,0.9942021
0,2,12,742.1829,472.5852,0.9974172
0,2,13,819.9637,496.0022,0.98345065
0,2,14,776.2454,538.2791,0.99241006
0,2,15,818.8951,574.7478,0.93256027
0,2,16,797.51324,636.76324,0.9542494
1,1,0,408.33014,200.21173,0.9666445
1,1,1,413.8089,193.01662,0.9502114
1,1,2,402.69412,194.60352,0.87133604
1,1,3,428.976,192.34758,0.83136356
1,1,4,399.52737,196.79916,0.39867014
1,1,5,449.57462,230.11166,0.9947379
1,1,6,401.82214,232.73904,0.9878172
1,1,7,463.52066,284.96494,0.9749018
1,1,8,401.90472,284.4849,0.91060907
1,1,9,458.9689,325.6906,0.9500784
1,1,10,397.79074,322.83972,0.88220197
1,1,11,449.28735,331.69946,0.9964322
1,1,12,415.41772,332.25003,0.9949591
1,1,13,466.29703,401.85385,0.9932636
1,1,14,415.67023,400.61438,0.9911936
1,1,15,488.48325,467.64783,0.98144686
1,1,16,423.81235,463.25974,0.97723526
1,2,0,796.2574,397.8908,0.9650684
1,2,1,802.7955,391.81677,0.7473389
1,2,2,789.6713,389.06015,0.94428533
1,2,3,806.0937,370.88287,0.20095138
1,2,4,768.3714,366.98944,0.81737113
1,2,5,818.9645,362.06897,0.97457916
1,2,6,730.81,380.52838,0.99694854
1,2,7,849.3549,391.2745,0.94624823
1,2,8,717.6131,444.63193,0.9971623
1,2,9,825.5304,415.61505,0.962802
1,2,10,767.30084,432.37592,0.99656075
1,2,11,800.4322,456.8556,0.9942767
1,2,12,746.6053,471.8863,0.9979882
1,2,13,821.65173,503.87695,0.98092306
1,2,14,779.746,548.0179,0.9932213
1,2,15,805.17755,562.65247,0.9293374
1,2,16,801.7079,643.81274,0.9591564
2,1,0,397.4877,199.96143,0.9770493
2,1,1,402.57013,192.59497,0.95371
2,1,2,390.03372,194.82759,0.93808967
2,1,3,416.35764,191.69002,0.78703326
2,1,4,383.17194,198.19148,0.6394729
2,1,5,437.3415,225.03223,0.99525875
2,1,6,386.00027,235.24707,0.9957593
2,1,7,441.62674,254.32837,0.9797763
2,1,8,383.25854,289.3596,0.98361593
2,1,9,422.57782,239.87512,0.9684784
2,1,10,373.71927,326.95355,0.97567594
2,1,11,448.54544,328.27295,0.9974088
2,1,12,412.82507,331.56384,0.99793756
2,1,13,469.65012,399.1509,0.99458957
2,1,14,418.17642,397.39328,0.9960848
2,1,15,480.83914,468.3011,0.98191637
2,1,16,424.5815,460.57385,0.9860752
2,2,0,795.9948,395.8708,0.96650255
2,2,1,802.1288,389.46942,0.781578
2,2,2,789.36584,387.61618,0.94768876
2,2,3,804.82635,369.56235,0.2459372
2,2,4,767.7433,367.13885,0.82770294
2,2,5,815.70917,362.1534,0.97455513
2,2,6,730.59845,381.65167,0.99654716
2,2,7,848.4129,393.85358,0.9437026
2,2,8,718.31824,444.5977,0.996316
2,2,9,828.6775,415.80896,0.95886296
2,2,10,768.30347,431.91333,0.99548703
2,2,11,802.92834,461.2397,0.9934651
2,2,12,749.9817,476.57632,0.9975412
2,2,13,825.21844,504.53925,0.9791661
2,2,14,780.00574,544.05835,0.9919464
2,2,15,815.4197,580.05054,0.9121022
2,2,16,801.22144,642.2483,0.9471319
3,1,0,396.6251,202.95798,0.9788305
3,1,1,401.79816,195.26553,0.941668
3,1,2,388.42432,198.00223,0.9331391
3,1,3,412.5013,193.99043,0.69623816
3,1,4,377.95923,201.54529,0.7008519
3,1,5,431.69922,227.80077,0.9916136
3,1,6,378.41168,235.65723,0.9909764
3,1,7,448.38477,263.20847,0.97572154
3,1,8,371.42987,285.353,0.9717074
3,1,9,423.84427,254.08447,0.9662216
3,1,10,365.27835,326.30817,0.9660324
3,1,11,449.97635,322.9171,0.9951213
3,1,12,411.7131,328.41003,0.9947924
3,1,13,471.7106,385.7131,0.9873871
3,1,14,418.85577,399.2096,0.9854336
3,1,15,491.14197,459.55496,0.9649486
3,1,16,422.82623,467.1301,0.96104014
3,2,0,796.26575,395.86823,0.96210885
3,2,1,802.12946,389.53772,0.71452725
3,2,2,789.73193,387.80838,0.94142467
3,2,3,803.88293,368.85422,0.17018363
3,2,4,767.3028,366.79092,0.81820554
3,2,5,814.772,359.75787,0.97241974
3,2,6,730.02435,380.76666,0.99691606
3,2,7,847.9599,387.3576,0.9479571
3,2,8,717.9901,443.53857,0.99748164
3,2,9,827.35065,414.00613,0.96514314
3,2,10,766.5505,431.78973,0.99700874
3,2,11,802.0561,456.7004,0.9945733
3,2,12,749.1536,472.75363,0.99812776
3,2,13,828.01196,506.05597,0.9815352
3,2,14,781.4306,549.24615,0.99347454
3,2,15,820.004,574.3782,0.92808455
3,2,16,801.22034,643.50586,0.959
4,1,0,409.6897,198.4001,0.9784756
4,1,1,414.79187,191.87637,0.94056344
4,1,2,402.55902,193.05618,0.9451778
4,1,3,424.17044,190.96985,0.7035292
4,1,4,392.24036,195.38698,0.76559114
4,1,5,439.5995,217.97176,0.989888
4,1,6,384.06998,234.62576,0.9938665
4,1,7,458.93723,240.30627,0.96571445
4,1,8,373.46207,286.12085,0.9806331
4,1,9,432.0586,231.5334,0.9572507
4,1,10,373.68472,333.40814,0.96920604
4,1,11,450.21268,318.17188,0.9963535
4,1,12,411.8386,326.92447,0.9970446
4,1,13,469.62527,386.76425,0.9867617
4,1,14,416.85486,398.5749,0.98827064
4,1,15,480.80542,452.7895,0.94481796
4,1,16,419.8418,467.25095,0.94878054
4,2,0,797.1963,394.8091,0.964283
4,2,1,802.88025,388.02118,0.7562349
4,2,2,790.13654,386.69598,0.9455715
4,2,3,804.5991,368.06036,0.21729843
4,2,4,767.5852,366.84085,0.8309445
4,2,5,815.0273,361.14923,0.97351336
4,2,6,730.21234,381.49234,0.9965848
4,2,7,847.31506,392.78802,0.9457059
